Date,Open,High,Low,Close,Adj Close,Volume
19-09-2022,19418.57227,19639.48047,18390.31836,19544.12891,19544.12891,40177002624
20-09-2022,19545.5918,19602.45703,18813.45508,18890.78906,18890.78906,36791346508
21-09-2022,18891.2832,19674.63086,18290.31445,18547.40039,18547.40039,46363793975
22-09-2022,18534.65039,19456.91016,18415.5918,19413.55078,19413.55078,41135767926
23-09-2022,19412.40039,19464.67188,18617.55273,19297.63867,19297.63867,38896078052
24-09-2022,19296.99023,19310.19727,18861.97461,18937.01172,18937.01172,26149643168
25-09-2022,18936.31055,19134.73242,18696.46875,18802.09766,18802.09766,23359966112
26-09-2022,18803.90039,19274.87305,18721.28516,19222.67188,19222.67188,44148798321
27-09-2022,19221.83984,20338.45508,18915.66797,19110.54688,19110.54688,58571439619
28-09-2022,19104.62109,19688.34375,18553.29688,19426.7207,19426.7207,53071298734
29-09-2022,19427.7793,19589.26563,18924.35352,19573.05078,19573.05078,41037843771
30-09-2022,19573.43164,20109.84961,19265.66211,19431.78906,19431.78906,43975248085
01-10-2022,19431.10547,19471.1543,19231.08203,19312.0957,19312.0957,18719537670
02-10-2022,19311.84961,19370.30859,18970.62109,19044.10742,19044.10742,20765955327
03-10-2022,19044.06836,19653.54297,19025.22656,19623.58008,19623.58008,30484729489
04-10-2022,19623.58398,20380.34375,19523.83984,20336.84375,20336.84375,35887278685
05-10-2022,20335.90039,20343.74805,19801.80078,20160.7168,20160.7168,33223790572
06-10-2022,20161.03906,20408.39258,19900.08789,19955.44336,19955.44336,34711412966
07-10-2022,19957.55859,20041.08594,19395.79297,19546.84961,19546.84961,29227315390
08-10-2022,19546.32813,19601.69531,19299.41406,19416.56836,19416.56836,16437423167
09-10-2022,19417.47852,19542.53906,19349.25977,19446.42578,19446.42578,16837262532
10-10-2022,19446.41602,19515.4668,19102.97852,19141.48438,19141.48438,27425022774
11-10-2022,19139,19241.96094,18925.60352,19051.41797,19051.41797,28711532910
12-10-2022,19052.64648,19203.19922,19029.75781,19157.44531,19157.44531,24950173846
13-10-2022,19156.9668,19453.32813,18319.82227,19382.9043,19382.9043,44219840004
14-10-2022,19382.5332,19889.14648,19115.4082,19185.65625,19185.65625,38452356727
15-10-2022,19185.4375,19212.54102,19019.25,19067.63477,19067.63477,16192235532
16-10-2022,19068.91406,19389.60352,19068.91406,19268.09375,19268.09375,17988916650
17-10-2022,19268.5625,19635.80273,19173.33398,19550.75781,19550.75781,27472552998
18-10-2022,19550.4668,19666.99414,19144.76953,19334.41602,19334.41602,30580012344
19-10-2022,19335.02734,19348.41602,19127.6875,19139.53516,19139.53516,22425387184
20-10-2022,19138.08594,19315.19922,18971.45898,19053.74023,19053.74023,24493974420
21-10-2022,19053.20313,19237.38477,18770.9707,19172.46875,19172.46875,32459287866
22-10-2022,19172.38086,19248.06836,19132.24414,19208.18945,19208.18945,16104440957
23-10-2022,19207.73438,19646.65234,19124.19727,19567.00781,19567.00781,22128794335
24-10-2022,19567.76953,19589.125,19206.32422,19345.57227,19345.57227,30202235805
25-10-2022,19344.96484,20348.41211,19261.44727,20095.85742,20095.85742,47761524910
26-10-2022,20092.23633,20938.13477,20076.11719,20770.44141,20770.44141,58895950537
27-10-2022,20772.80273,20854.04492,20255.37305,20285.83594,20285.83594,49625110402
28-10-2022,20287.95703,20724.98047,20086.06836,20595.35156,20595.35156,43994715910
29-10-2022,20595.10352,20988.39453,20566.48438,20818.47656,20818.47656,40369840645
30-10-2022,20817.98242,20917.00586,20547.46289,20635.60352,20635.60352,31486345556
31-10-2022,20633.69531,20795.32031,20287.45898,20495.77344,20495.77344,45668466815
01-11-2022,20494.89844,20647.28906,20359.8457,20485.27344,20485.27344,39819303159
02-11-2022,20482.95898,20742.81055,20087.13477,20159.50391,20159.50391,55552169483
03-11-2022,20162.68945,20382.0957,20086.24023,20209.98828,20209.98828,43228750179
04-11-2022,20208.76953,21209.56055,20188.01953,21147.23047,21147.23047,64072727950
05-11-2022,21144.83203,21446.88672,21097.63477,21282.69141,21282.69141,37846047609
06-11-2022,21285.05664,21345.37695,20920.19141,20926.48633,20926.48633,35082693210
07-11-2022,20924.62109,21053.24609,20489.97266,20602.81641,20602.81641,53510852236
08-11-2022,20600.67188,20664.60742,17603.54492,18541.27148,18541.27148,1.18992E+11
09-11-2022,18543.76172,18590.45898,15682.69238,15880.78027,15880.78027,1.02905E+11
10-11-2022,15883.1582,18054.3125,15834.01856,17586.77148,17586.77148,83202283721
